"Original" "Revised"
"49" "tBodyAcc-std()-Y" "TimeDomain-BodyAcceleration-StandardDeviation-Y"
"50" "tBodyAcc-std()-Z" "TimeDomain-BodyAcceleration-StandardDeviation-Z"
"51" "tGravityAcc-std()-X" "TimeDomain-GravityAcceleration-StandardDeviation-X"
"52" "tGravityAcc-std()-Y" "TimeDomain-GravityAcceleration-StandardDeviation-Y"
"53" "tGravityAcc-std()-Z" "TimeDomain-GravityAcceleration-StandardDeviation-Z"
"54" "tBodyAccJerk-std()-X" "TimeDomain-BodyAccelerationJerk-StandardDeviation-X"
"55" "tBodyAccJerk-std()-Y" "TimeDomain-BodyAccelerationJerk-StandardDeviation-Y"
"56" "tBodyAccJerk-std()-Z" "TimeDomain-BodyAccelerationJerk-StandardDeviation-Z"
"57" "tBodyGyro-std()-X" "TimeDomain-BodyAngularVelocity-StandardDeviation-X"
"58" "tBodyGyro-std()-Y" "TimeDomain-BodyAngularVelocity-StandardDeviation-Y"
"59" "tBodyGyro-std()-Z" "TimeDomain-BodyAngularVelocity-StandardDeviation-Z"
"60" "tBodyGyroJerk-std()-X" "TimeDomain-BodyAngularVelocityJerk-StandardDeviation-X"
"61" "tBodyGyroJerk-std()-Y" "TimeDomain-BodyAngularVelocityJerk-StandardDeviation-Y"
"62" "tBodyGyroJerk-std()-Z" "TimeDomain-BodyAngularVelocityJerk-StandardDeviation-Z"
"63" "tBodyAccMag-std()" "TimeDomain-BodyAccelerationMag-StandardDeviation"
"64" "tGravityAccMag-std()" "TimeDomain-GravityAccelerationMag-StandardDeviation"
"65" "tBodyAccJerkMag-std()" "TimeDomain-BodyAccelerationJerkMag-StandardDeviation"
"66" "tBodyGyroMag-std()" "TimeDomain-BodyAngularVelocityMag-StandardDeviation"
"67" "tBodyGyroJerkMag-std()" "TimeDomain-BodyAngularVelocityJerkMag-StandardDeviation"
"68" "fBodyAcc-std()-X" "FrequencyDomain-BodyAcceleration-StandardDeviation-X"
"69" "fBodyAcc-std()-Y" "FrequencyDomain-BodyAcceleration-StandardDeviation-Y"
"70" "fBodyAcc-std()-Z" "FrequencyDomain-BodyAcceleration-StandardDeviation-Z"
"71" "fBodyAccJerk-std()-X" "FrequencyDomain-BodyAccelerationJerk-StandardDeviation-X"
"72" "fBodyAccJerk-std()-Y" "FrequencyDomain-BodyAccelerationJerk-StandardDeviation-Y"
"73" "fBodyAccJerk-std()-Z" "FrequencyDomain-BodyAccelerationJerk-StandardDeviation-Z"
"74" "fBodyGyro-std()-X" "FrequencyDomain-BodyAngularVelocity-StandardDeviation-X"
"75" "fBodyGyro-std()-Y" "FrequencyDomain-BodyAngularVelocity-StandardDeviation-Y"
"76" "fBodyGyro-std()-Z" "FrequencyDomain-BodyAngularVelocity-StandardDeviation-Z"
"77" "fBodyAccMag-std()" "FrequencyDomain-BodyAccelerationMag-StandardDeviation"
"78" "fBodyBodyAccJerkMag-std()" "FrequencyDomain-BodyAcelerationJerkMagnitude-StandardDeviation"
"79" "fBodyBodyGyroMag-std()" "FrequencyDomain-BodyAngularVelocityMagnitude-StandardDeviation"
"80" "fBodyBodyGyroJerkMag-std()" "FrequencyDomain-BodyAngularVelocityJerkMagnitude-StandardDeviation"
